biz_name,aspect,positive_aspect_count,negative_aspect_count,positive_aspect_ratio
Fusion Bay,food,188,34,0.8468468468468469
Quartermaster Store,price,14,1,0.9333333333333333
Streetcar Charlie's Bar & Grille,food,17,10,0.6296296296296297
Kebab King,service,22,1,0.9565217391304348
Super Burrito,ambience,35,12,0.7446808510638298
La Cabana Restaurant,price,13,2,0.8666666666666667
Mike Shannon's Grill,ambience,47,12,0.7966101694915254
OORI,service,53,3,0.9464285714285714
Txuleta,service,23,6,0.7931034482758621
Bob Dobbs,price,22,4,0.8461538461538461
Lucky Strike Bowl,food,20,12,0.625
Sips Specialty Coffee House,ambience,136,8,0.9444444444444444
Milkboy,service,71,8,0.8987341772151899
South Street Diner,service,107,24,0.816793893129771
Chuck Lager - America's Tavern,service,77,7,0.9166666666666666
Hummus Republic,service,33,4,0.8918918918918919
Zhang Bistro,service,33,2,0.9428571428571428
Kid Rock's Big Honky Tonk and Rock n' Roll Steakhouse,ambience,258,63,0.8037383177570093
Otts Tavern & Millstadt Fish Stand,food,42,5,0.8936170212765957
Country Cafe,ambience,4,2,0.6666666666666666
Panda Garden,price,29,1,0.9666666666666667
Miss Winnie's,price,8,0,1.0
Murrieta's,service,202,61,0.7680608365019012
Local's Pizzeria,price,3,0,1.0
Trolley Square Oyster House,ambience,77,10,0.8850574712643678
La Mesa Tortillas,price,4,1,0.8
Lan Zhou Lamen,ambience,30,0,1.0
Miga Korean Cuisine Restaurant,price,3,1,0.75
Maru Sushi & Grill - East Nashville,service,84,12,0.875
Boardwalk,food,39,7,0.8478260869565217
Southwest Grillers,food,3,4,0.42857142857142855
Blaze Fast-Fire'd Pizza,food,119,16,0.8814814814814815
Chicago Connection - Fairview,food,22,15,0.5945945945945946
Shawarma on the Run,food,78,5,0.9397590361445783
Pirate Crab,service,12,0,1.0
QuikTrip,price,41,3,0.9318181818181818
Snap Custom Pizza & Salads,food,31,3,0.9117647058823529
The Funky Chicken Kitchen,food,5,2,0.7142857142857143
The Funky Chicken Kitchen,ambience,1,1,0.5
Mattei Family Pizza,ambience,14,1,0.9333333333333333
Poke Loa,price,26,10,0.7222222222222222
Rams Diner,ambience,23,8,0.7419354838709677
Fudena,food,15,1,0.9375
Food Land Market,food,41,3,0.9318181818181818
The Back Burner,service,57,13,0.8142857142857143
Mokja,ambience,17,4,0.8095238095238095
Guajillo Mexican Grill,food,36,10,0.782608695652174
Tony's Pizzeria,ambience,14,1,0.9333333333333333
IndeBlue Indian Cuisine,price,55,7,0.8870967741935484
Beach Hut Deli,service,96,15,0.8648648648648649
City Greens,ambience,8,3,0.7272727272727273
Bistro At Maison De Ville,food,15,6,0.7142857142857143
Bison Witches Bar & Deli,price,90,10,0.9
LaMarinella Pizzeria,price,0,1,0.0
Lariele,service,33,11,0.75
Pearl Chinese & Japanese Cuisine,food,54,25,0.6835443037974683
Woodshed Burgers,price,9,3,0.75
Tilted Kilt,food,8,4,0.6666666666666666
Taqueria El Torito,price,17,0,1.0
Ceres,service,11,1,0.9166666666666666
Tavani's Ristorante,food,7,0,1.0
Ventana Mexican Kitchen,food,7,4,0.6363636363636364
Ikki Izakaya,ambience,16,2,0.8888888888888888
Everest Grill,food,37,3,0.925
Daily Buffet & Grill,service,42,4,0.9130434782608695
Novita Bistro,ambience,22,6,0.7857142857142857
Kei Sushi Restaurant,service,103,4,0.9626168224299065
NYPD Pizza,price,15,6,0.7142857142857143
Yummy Noodle House,food,7,8,0.4666666666666667
Snax Gastrobar,service,18,4,0.8181818181818182
Vinh-Long,service,85,5,0.9444444444444444
St Louis Kolache,food,1,1,0.5
Zayna Mediterranean Cafe,service,9,0,1.0
Coffee Beanery,service,1,1,0.5
Anchor High Grill,service,9,2,0.8181818181818182
Sapporo Sushi,food,29,12,0.7073170731707317
Itty Bitty Sandwich Shop,food,26,3,0.896551724137931
Juice Bar - The Gulch,food,66,9,0.88
Kennett,service,85,12,0.8762886597938144
Dino's,price,42,2,0.9545454545454546
WEPAA RESTAURANT,ambience,25,2,0.9259259259259259
Rooftop Garden,price,9,2,0.8181818181818182
Hobnobber Cafe,ambience,8,1,0.8888888888888888
The Orient Chinese Restaurant,service,19,2,0.9047619047619048
Wet Willie's,service,56,2,0.9655172413793104
Nirvana Indian Bistro,food,71,4,0.9466666666666667
Chowing at Bagger Dave's,food,19,10,0.6551724137931034
BD's Mongolian Grill,price,14,7,0.6666666666666666
Boardwalk,ambience,8,0,1.0
Kims Restaurant,ambience,26,0,1.0
Petra Restaurant,price,21,6,0.7777777777777778
aka Deli & Bakeshop,ambience,5,2,0.7142857142857143
SOHA Bar and Grill,service,120,17,0.8759124087591241
Nashville Pizza,price,4,0,1.0
Sally,food,57,4,0.9344262295081968
Mattingly's Sports Bar & Grill,food,57,12,0.8260869565217391
The Lunchbox Diner,ambience,8,1,0.8888888888888888
Trattoria Figaro,ambience,6,1,0.8571428571428571
Johnny's Seafood,price,4,1,0.8
Grace Manor Restaurant,price,0,0,
Masa Asia,service,10,2,0.8333333333333334
Oranj Sushi Bar,service,17,4,0.8095238095238095
Cafe Luck,price,11,2,0.8461538461538461
The Onyx Room,ambience,14,8,0.6363636363636364
Bagger Dave's Burger Tavern,service,52,7,0.8813559322033898
Plant City Homestyle Buffet,service,9,1,0.9
Madina Restaurant,service,12,0,1.0
Brass Bear Brewing & Bistro,price,28,0,1.0
Mariscos Las Islitas,food,18,6,0.75
Audubon Clubhouse Cafe,service,38,0,1.0
Local Harvest Cafe & Catering Downtown,ambience,10,1,0.9090909090909091
Wingbasket,price,6,1,0.8571428571428571
El Chapo Restaurant,price,4,2,0.6666666666666666
Pie Five Pizza,ambience,30,15,0.6666666666666666
Great Taste Chinese Food,price,5,1,0.8333333333333334
JSB Cafe at Santa Barbara City College,ambience,7,1,0.875
Salute Bistro & Bar,service,9,1,0.9
Bangkok Thai Restaurant,price,19,1,0.95
Clean Juice,ambience,7,0,1.0
Tony's Pizza,price,13,2,0.8666666666666667
Taziki's Mediterranean Cafe - Green Hills,ambience,19,1,0.95
Walt's Pizza & Grille,service,13,3,0.8125
Varsity Pub,ambience,10,5,0.6666666666666666
Take Three Cafe,price,19,1,0.95
Nosh,ambience,32,14,0.6956521739130435
Rockstar Lobster,service,6,0,1.0
Abbraccio,food,23,9,0.71875
RamaPong,ambience,12,5,0.7058823529411765
Pho 4 Seasons,ambience,25,1,0.9615384615384616
Taqueria Lindo Michoacan,ambience,2,1,0.6666666666666666
Honey Baked Ham Company,price,5,5,0.5
Elicia's Pizza,ambience,1,1,0.5
Bob's Pizza and Chicken,food,8,1,0.8888888888888888
Manny & Olga's Pizza,food,7,2,0.7777777777777778
The Fat Greek,ambience,1,1,0.5
Las Cazuelas Mexican Grill,ambience,3,0,1.0
Sakura Asian Cuisine,ambience,21,3,0.875
Edgewild,price,13,2,0.8666666666666667
Bollywood Aroma Indian Cuisine,service,26,6,0.8125
Pearl Chinese & Japanese Cuisine,price,12,2,0.8571428571428571
La Azteca,food,16,2,0.8888888888888888
Gianino's Pastries,service,3,0,1.0
The Cajun House,service,38,0,1.0
Dixie Lee,price,0,2,0.0
Eleventwenty Cafe Bistro,service,0,0,
Bella Cena,food,50,29,0.6329113924050633
Back To the 50S,price,3,3,0.5
Crawfish & Pho,service,13,0,1.0
Hunan Empress,ambience,18,1,0.9473684210526315
California Pizza Kitchen,ambience,1,5,0.16666666666666666
St Rose Tavern,service,3,0,1.0
The Gumbo Shop,price,9,1,0.9
Feasterville Family Bakery,ambience,1,0,1.0
Peebee & Jays,ambience,16,0,1.0
Gold Fountain II Chinese Restaurant,food,18,11,0.6206896551724138
Liberty Pizza and Grill,service,6,2,0.75
Rancho Grande,service,15,7,0.6818181818181818
Bait & Switch,price,22,0,1.0
Pin On Cafe,service,33,0,1.0
Sansai Japanese Grill,ambience,0,0,
Riddle Ale House,ambience,16,19,0.45714285714285713
Bronze Table,service,4,0,1.0
A&W Restaurant,food,36,6,0.8571428571428571
Applebee's Grill + Bar,,99,55,0.6428571428571429
McDougal's Chicken Fingers & Wings,,67,9,0.881578947368421
Royal Tavern,,131,22,0.8562091503267973
Truckee Bagel Company - Midtown,,29,7,0.8055555555555556
The Wheelhouse,,54,3,0.9473684210526315
Rebel Taco,,8,0,1.0
Double Knot,,254,46,0.8466666666666667
Phil's Bar B Que,,10,3,0.7692307692307693
Longboard's Grill,,118,28,0.8082191780821918
Pho Grand Restaurant,,125,31,0.8012820512820513
Jersey Java and Tea,,31,3,0.9117647058823529
Thai Singha House,,16,5,0.7619047619047619
B & C Market BBQ,,14,1,0.9333333333333333
Stadium Donair,,2,3,0.4
Vi's For Pies,,16,1,0.9411764705882353
Wolfies Grill -- Geist,,53,8,0.8688524590163934
The Original Nooley's,,6,6,0.5
Ponzo's Italian Food,,50,6,0.8928571428571429
Bistro Daisy,,37,3,0.925
Jamaican Jerk Hut,,56,16,0.7777777777777778
The Bar At the Ambassador,,1,1,0.5
Takoyaki Balls,,3,0,1.0
Pizza King,,30,11,0.7317073170731707
Zaytoon Grill,,64,11,0.8533333333333334
Luna Rossa Biagio Lamberti,,20,5,0.8
Stacy's Gluten Free Goodies,,14,4,0.7777777777777778
Asian Cuisine Boise,,12,2,0.8571428571428571
Ceviche Tapas Bar & Restaurant,,159,16,0.9085714285714286
Que Rica's,,21,1,0.9545454545454546
Stacky's Seaside,,9,1,0.9
Charley Dove,,5,3,0.625
Thai Bay Restaurant,,25,4,0.8620689655172413
Papaya,,45,9,0.8333333333333334
Kabuki Sushi,,61,12,0.8356164383561644
Pho 9 - Pho Xinh,,56,4,0.9333333333333333
Liberty Hall Pizza,,51,8,0.864406779661017
Flying Pie Pizzaria,,2,0,1.0
Poe's Sandwich Joint,,13,5,0.7222222222222222
Glasshouse Kitchen Bar,,5,4,0.5555555555555556
Los Camaradas,,60,10,0.8571428571428571
Nimit Palace,,90,8,0.9183673469387755
Ikki Sushi,,4,0,1.0
Philly Hot Dog Cafe,service,5,0,1.0
El Pavo Real,,66,10,0.868421052631579
The Lab Tampa,,27,2,0.9310344827586207
San Miguelito Mexican Cuisine,,11,1,0.9166666666666666
Cinco De Mayo Mexican restaurant - Brentwood,,28,8,0.7777777777777778
Mackenzie Deli,,5,0,1.0
Tokyo Japanese Steak House,,31,6,0.8378378378378378
The Venue,,3,2,0.6
The Village Diner,,14,4,0.7777777777777778
Mesob Ethiopian Restaurant,price,9,0,1.0
Agustín Brasserie,ambience,33,4,0.8918918918918919
Wok & Roast,,0,0,
Simply Thai Restaurant,,13,1,0.9285714285714286
Chinatown,food,21,6,0.7777777777777778
Mystery Dinner Theater,,5,5,0.5
Garibaldi Mexican Restaurant,,3,1,0.75
Peony Chinese Cuisine,,8,3,0.7272727272727273
Pizzi's Pizza,,4,1,0.8
Montesini Pizza & Pasta Gourmet,,8,2,0.8
Milanese Brother's Pizza,service,24,0,1.0
Le Pain Quotidien,,37,4,0.9024390243902439
Kebab Gyros & Pizza,,6,0,1.0
N'awlins Jazz Cafe,service,13,4,0.7647058823529411
The Delta Bar & Grill,,2,0,1.0
Bruegger's Bagels,,20,2,0.9090909090909091
Little Bangkok Restaurant,,2,0,1.0
Jade Horse Restaurant,ambience,1,0,1.0
Rally's,,1,3,0.25
Royal Paan,,1,0,1.0
Sugaree Baking Co,,13,1,0.9285714285714286
Del Italy,,11,0,1.0
City Steaks,ambience,8,1,0.8888888888888888
Le Anh Chinese Food,,8,0,1.0
Jim's Nachos Mexican Restaurant,,2,0,1.0
Saffron,food,503,59,0.895017793594306
BrickTop's,food,313,49,0.8646408839779005
McAlister's Deli,food,257,91,0.7385057471264368
Sazon Restaurant & Cafe,food,557,104,0.8426626323751891
Pere Antoine Restaurant,food,850,395,0.6827309236947792
Farmer Boy,service,143,10,0.934640522875817
Local 44,food,717,154,0.8231917336394948
The Irish Mile,price,22,2,0.9166666666666666
PYT,price,120,40,0.75
Long Thanh Chinese and Vietnamese Food,food,110,32,0.7746478873239436
Fette Sau,food,1166,343,0.7726971504307488
Modo Mio,food,1075,169,0.8641479099678456
Sugarfire Smokehouse,service,129,15,0.8958333333333334
Mandarin House Chinese Buffet,food,69,40,0.6330275229357798
El Patron Pizzeria,food,32,70,0.3137254901960784
Pine State Biscuits - Reno,price,57,9,0.8636363636363636
Parrilla Grill,ambience,38,10,0.7916666666666666
Merchantville Diner,food,32,9,0.7804878048780488
Bangkok Palace,price,1,2,0.3333333333333333
Surf Shack,food,345,99,0.777027027027027
Taqueria El Bronco,ambience,64,5,0.927536231884058
Guadalajara Original Grill,ambience,351,64,0.8457831325301205
Little Fish,price,80,22,0.7843137254901961
Thai Corner Cafe,price,46,7,0.8679245283018868
A&W Restaurant,ambience,5,3,0.625
Finbar,food,82,17,0.8282828282828283
Sweet Basil Vietnamese Kitchen,service,15,0,1.0
Delta Queen Port of Call - Restaurant & Lounge,price,3,2,0.6
Draught Horse Pub & Grill,price,29,4,0.8787878787878788
Food For Ascension Cafe,service,49,8,0.8596491228070176
Bawarchi,price,13,2,0.8666666666666667
Taiwan Express Chinese Restaurant,service,7,0,1.0
Downey's Restaurant,service,63,26,0.7078651685393258
Jamaican Reggae Grill,ambience,122,13,0.9037037037037037
Red Kings 2 Restaurant,service,33,5,0.868421052631579
Osteria,food,172,33,0.8390243902439024
RGE RD,ambience,109,12,0.9008264462809917
Madison's Sports Grill,service,32,7,0.8205128205128205
Big Bad Breakfast - Nashville,service,213,29,0.8801652892561983
Antojitos Dona Chirris,ambience,4,0,1.0
Little Caesars,price,18,3,0.8571428571428571
Tapa Vino,ambience,12,0,1.0
Famous Dave's Bar-B-Que,service,327,57,0.8515625
Newtown Kitchen & Lounge,food,16,3,0.8421052631578947
Island Paradise Restaurant & Grill,food,72,13,0.8470588235294118
Silver Peak Grill & Taproom,food,491,130,0.7906602254428341
Red Kings 2 Restaurant,ambience,14,6,0.7
LaScala's Pronto,food,175,47,0.7882882882882883
The Little Lamb,food,519,39,0.9301075268817204
Pho Viet,food,86,7,0.9247311827956989
Perla,ambience,110,12,0.9016393442622951
The Bishop's Collar,price,51,2,0.9622641509433962
Crave Coffee Bar,food,356,69,0.8376470588235294
Palladino's,food,154,39,0.7979274611398963
Palace of Asia PA,food,104,12,0.896551724137931
El Limon - Malvern,food,373,29,0.927860696517413
Krispy Krab 2,food,59,10,0.855072463768116
Cafe Aquarius,service,9,0,1.0
JG Domestic,service,114,19,0.8571428571428571
India's Grill Tampa,service,132,23,0.8516129032258064
Gloucester Premium Outlets,ambience,50,7,0.8771929824561403
Redcrest Fried Chicken,ambience,21,2,0.9130434782608695
Boogie Burger,ambience,49,8,0.8596491228070176
Pappone's Pizza,price,7,0,1.0
Beijing Hunan,ambience,0,2,0.0
Japonais Bistro,price,22,4,0.8461538461538461
The Getaway Maximo Marina,food,71,18,0.797752808988764
EL Azabache Mexican Restaurant,food,110,32,0.7746478873239436
Jack Dempsey's Restaurant & Bar,food,202,50,0.8015873015873016
Green Market Cafe,ambience,32,10,0.7619047619047619
Los Chulos,food,28,2,0.9333333333333333
U-Like Asian Buffet,price,17,2,0.8947368421052632
Battista's Calzone,food,106,6,0.9464285714285714
Applebee's Grill + Bar,price,96,35,0.732824427480916
Bixby's,ambience,78,3,0.9629629629629629
Anthony’s Coal Fired Pizza & Wings,food,12,8,0.6
Portales Restaurant,food,21,2,0.9130434782608695
Wingo Taco Truck,ambience,5,2,0.7142857142857143
Sage & Onion Cafe,food,115,15,0.8846153846153846
Copper Country Antiques,food,18,2,0.9
Rosa's Pretzel Bakery,food,5,0,1.0
Saigon Cafe,service,140,4,0.9722222222222222
Pulaski Meat Products,food,14,12,0.5384615384615384
Companion Ladue Cafe,service,51,15,0.7727272727272727
The Sub House,price,1,0,1.0
Unique Chinese,food,19,8,0.7037037037037037
Your Place Thai Restaurant,service,154,36,0.8105263157894737
Jules Thin Crust,ambience,36,5,0.8780487804878049
Legends Grill Sports & Spirits,price,34,0,1.0
I Love Salad,ambience,17,0,1.0
Black Bear Diner,price,47,6,0.8867924528301887
Beantown Pub South,food,11,3,0.7857142857142857
Koko’s Korean Kitchen,food,36,8,0.8181818181818182
Buena Vista Mexican Restaurant,service,91,4,0.9578947368421052
Hob Nob,service,13,4,0.7647058823529411
Surf Shack,service,157,32,0.8306878306878307
Hilltop Cafe,food,13,0,1.0
Kenny's Korner Restaurant,service,70,5,0.9333333333333333
Karma Juice Bar And Eatery,food,5,0,1.0
Plaza Azteca - Plymouth Meeting,service,239,70,0.7734627831715211
iPho Vietnamese Restaurant,food,136,36,0.7906976744186046
Riverside Seafood Market,price,8,1,0.8888888888888888
Sushi Lin,food,65,16,0.8024691358024691
Saffron,service,227,41,0.8470149253731343
Foodys Diner and Pizza House,food,74,10,0.8809523809523809
Dominic's Restaurant,price,14,6,0.7
Pho Ha Saigon,service,96,51,0.6530612244897959
Dos Carnales,food,17,3,0.85
Moonshine Philly,service,168,19,0.8983957219251337
My Thai Restaurant,food,131,36,0.7844311377245509
28/65 Brewhouse,food,93,43,0.6838235294117647
The Pfunky Griddle,service,138,23,0.8571428571428571
Taj of India,food,17,13,0.5666666666666667
Taqueria Pico De Gallo,service,70,13,0.8433734939759037
Village Belle,ambience,65,4,0.9420289855072463
The Fresh Grocer of LaSalle,price,2,0,1.0
Perkins Restaurant & Bakery,food,103,27,0.7923076923076923
Namese,service,250,20,0.9259259259259259
KC Prime,ambience,70,7,0.9090909090909091
Poke Rose,food,69,9,0.8846153846153846
The Copper Dram,service,32,0,1.0
Cracovia Polish Restaurant,service,66,9,0.88
Jimbo's BBQ,food,125,20,0.8620689655172413
Luca's Pizza,food,27,3,0.9
Just Breakfast on Silverbell,food,105,23,0.8203125
Sakura King,food,24,8,0.75
Fired Pie,ambience,20,4,0.8333333333333334
Golden Phoenix,service,13,5,0.7222222222222222
Taqueria El Sol,service,16,0,1.0
Papa G's,food,28,10,0.7368421052631579
Taco Giro,ambience,37,16,0.6981132075471698
Paradise Biryani Pointe,service,35,16,0.6862745098039216
Chill Out Cafe,food,226,40,0.849624060150376
Ooh Wee Bar-B-Q,service,4,0,1.0
Hibachi Grill,food,57,52,0.5229357798165137
Tropical Smoothie Cafe,price,16,1,0.9411764705882353
HNT Chicken,food,27,22,0.5510204081632653
Cafe L'Aube,ambience,25,5,0.8333333333333334
Fat Boys Pizza,ambience,32,6,0.8421052631578947
Subito,price,22,0,1.0
Nick's Pizzeria & Steak House,price,5,0,1.0
Flannel,food,212,20,0.9137931034482759
The Bagel Spot,food,76,14,0.8444444444444444
Zio's Italian Market,price,24,2,0.9230769230769231
Cafe Manhattan,price,21,2,0.9130434782608695
Tortilla Press Cantina,service,77,11,0.875
Key Food Pizza,service,9,4,0.6923076923076923
Los Aztecas,service,79,10,0.8876404494382022
Dosa Express,food,28,3,0.9032258064516129
Companion Ladue Cafe,ambience,43,8,0.8431372549019608
Nina's Cafe,ambience,16,4,0.8
Wolfies Grill -- Geist,ambience,79,22,0.7821782178217822
Panda Pavilion,price,2,0,1.0
El Paso Mexican Grill,ambience,4,1,0.8
Pudge's Steaks & Hoagies,ambience,8,1,0.8888888888888888
Pho Ga Thanh Thanh,price,6,0,1.0
Metro Nightclub & Restaurant,ambience,54,3,0.9473684210526315
Diggs Pizza,food,93,9,0.9117647058823529
Aqimero,ambience,88,3,0.967032967032967
El Camino Mexican Kitchen,ambience,47,0,1.0
Fortel's Pizza Den,price,16,4,0.8
Pearl River Restaurant,food,34,4,0.8947368421052632
Lucy's Cafe,food,13,1,0.9285714285714286
Puffy Muffin,price,10,2,0.8333333333333334
2 Girls 4 Wheels,food,19,4,0.8260869565217391
Bistro Americana,food,15,7,0.6818181818181818
Uncle Linny's Family Restaurant,ambience,16,3,0.8421052631578947
Famous Pizza,food,17,3,0.85
Jong Ka Jib,service,112,17,0.8682170542635659
Bruchi's CheeseSteaks & Subs,food,105,32,0.7664233576642335
Hamburger Hill Family Restaurant,food,15,17,0.46875
GARRISON DELI,food,12,2,0.8571428571428571
Baguette Deli,ambience,22,9,0.7096774193548387
Blue Crab Juicy Seafood & Bar,price,5,1,0.8333333333333334
Dixon's Smoke Company,food,69,16,0.8117647058823529
J D's Restaurant & Lounge,ambience,53,17,0.7571428571428571
Saga,service,26,8,0.7647058823529411
Mariachi's Mexican Restaurant & Cantina,price,6,0,1.0
Chicago Deep Dish Pizza,food,4,2,0.6666666666666666
Tasty Treats,food,23,5,0.8214285714285714
Mandarin Grill,ambience,29,4,0.8787878787878788
Donut King,food,8,2,0.8
Natural Fact Deli,food,8,1,0.8888888888888888
The Dosa Shop,food,7,2,0.7777777777777778
Triple B Boise's Best Burgers,food,25,0,1.0
Rocks,ambience,4,3,0.5714285714285714
Izakaya By Yanaga,food,40,13,0.7547169811320755
Tava,ambience,13,1,0.9285714285714286
Denton Family Diner,ambience,4,0,1.0
Pho Le,price,19,2,0.9047619047619048
Omiza,ambience,24,5,0.8275862068965517
China Sea,ambience,5,2,0.7142857142857143
Vic's Kangaroo Cafe,food,27,6,0.8181818181818182
Café Valentina,price,8,0,1.0
Lorenzo's Trattoria Italiana & Pizzeria,ambience,5,0,1.0
Tamale Joe's,ambience,5,1,0.8333333333333334
